DATE,MAFAINUSA646N
1953-01-01,4706
1954-01-01,4684
1955-01-01,4962
1956-01-01,5341
1957-01-01,5443
1958-01-01,5565
1959-01-01,5976
1960-01-01,6227
1961-01-01,6471
1962-01-01,6670
1963-01-01,6998
1964-01-01,7336
1965-01-01,7704
1966-01-01,8395
1967-01-01,8801
1968-01-01,9670
1969-01-01,10577
1970-01-01,11106
1971-01-01,11583
1972-01-01,12625
1973-01-01,13622
1974-01-01,14711
1975-01-01,15546
1976-01-01,16870
1977-01-01,18264
1978-01-01,20091
1979-01-01,22316
1980-01-01,23974
1981-01-01,25838
1982-01-01,27391
1983-01-01,28638
1984-01-01,31052
1985-01-01,32944
1986-01-01,34924
1987-01-01,36884
1988-01-01,38608
1989-01-01,41506
1990-01-01,42652
1991-01-01,43237
1992-01-01,44221
1993-01-01,47221
1994-01-01,49340
1995-01-01,51353
1996-01-01,53676
1997-01-01,56902
1998-01-01,59589
1999-01-01,62567
2000-01-01,65773
2001-01-01,66863
2002-01-01,66970
2003-01-01,68563
2004-01-01,70389
2005-01-01,73304
2006-01-01,77315
2007-01-01,78845
2008-01-01,79634
2009-01-01,78538
2010-01-01,78180
2011-01-01,81007
2012-01-01,82843
2013-01-01,87671
2014-01-01,88765
2015-01-01,92673
2016-01-01,97357
2017-01-01,103218
2018-01-01,106045
2019-01-01,116735
2020-01-01,114962
